ge,453.00,305.00,2
w1,900.00,1952.50,0
k1,921.25,1766.25,0
k2,1772.50,1767.50,0
k3,1773.75,1671.25,0
40,1582.50,1508.75,0
3,695.00,1488.75,0
24,1158.75,1471.25,0
37,1476.25,1160.00,0
33,1672.50,1280.00,0
32,1672.50,1040.00,0
29,1486.25,812.50,0
25,1150.00,997.50,0
9,445.00,1202.50,0
10,346.25,1043.75,0
8,547.50,1095.00,0
11,346.25,893.75,0
19,547.50,812.50,0
18,547.50,537.50,0
14,346.25,548.75,0
15,346.25,398.75,0
16,346.25,312.50,0
17,547.50,398.75,0
27,1127.50,718.75,0
28,1286.25,718.75,0
k4,921.25,1527.50,0
k5,823.75,1482.50,0
k6,785.00,1482.50,0
k7,1020.00,1471.25,0
k8,1065.00,1471.25,0
s1,883.00,1350.00,0
k10,1020.00,900.00,0
k11,823.75,900.00,0
k12,1150.00,930.00,0
k13,1150.00,900.00,0
k14,1486.25,900.00,0
k15,1486.25,865.00,0
k16,1291.25,812.50,0
k17,1127.50,812.50,0
k18,1291.25,770.00,0
k19,1128.75,770.00,0
k20,1568.75,900.00,0
k21,1644.62,903.08,0
s2,1743.00,943.33,0
k23,1568.75,967.50,0
k24,1568.75,1040.00,0
k25,1593.75,1040.00,0
k26,1567.50,1160.00,0
k27,1567.50,1280.00,0
k28,1541.25,1160.00,0
k29,1593.75,1281.25,0
k30,1567.50,1355.00,0
k31,448.75,893.75,0
k32,413.75,893.75,0
k33,448.75,1040.00,0
k34,413.75,1040.00,0
k35,448.75,1095.00,0
k36,475.00,1095.00,0
k37,448.75,1127.50,0
k38,448.75,812.50,0
k39,478.75,812.50,0
k40,448.75,552.50,0
k41,417.50,552.50,0
k42,448.75,510.00,0
k43,478.75,511.25,0
k44,448.75,398.75,0
k45,413.75,395.00,0
k46,448.75,312.50,0
k47,413.75,312.50,0
k22,398.18,763.64,0
s3,287.00,718.75,0
k48,448.75,739.00,0
1,695.00,1703.33,0
k297,785.00,1703.33,0
k298,921.25,1703.33,0
k305,883.00,1497.00,0
k400,1866.67,903.08,0
k401,1866.67,943.33,0
k402,165.00,763.64,0
k403,165.00,718.75,0
s4,246.87,512.73,1
k49,341.25,512.73,1
k50,341.25,472.50,1
105,337.50,387.50,1
k51,581.25,526.67,1
k306,581.25,472.50,1
105a,581.25,387.50,1
k52,593.75,575.00,1
k53,593.75,828.75,1
k54,538.75,828.75,1
103,421.25,828.75,1
k55,593.75,1135.00,1
k56,538.75,1135.00,1
102,421.25,1135.00,1
k57,593.75,1452.50,1
k58,538.75,1452.50,1
101,421.25,1452.50,1
k59,593.75,1230.00,1
k60,893.75,1230.00,1
k61,692.73,854.00,1
k62,893.75,1258.75,1
k63,962.50,1260.00,1
k64,893.75,1006.25,1
k65,955.00,1006.25,1
113,1042.50,1260.00,1
107,1042.50,1006.25,1
k66,893.75,750.00,1
k67,1330.71,750.00,1
k68,1330.71,700.83,1
s5,1355.71,739.17,1
